slug,nom,nationalite,poste,statut,club,ligue,pays_club,ville_club,continent,est_etranger
jakub-rumian,Jakub Rumian,Czech Republic,Right Back,active,SKP Frýdek Místek,Strabag Rail Extraliga (Czech),Czech Republic,Frýdek Místek,Europe,FALSE
ondrej-hron,Ondrej Hron,Czech Republic,Right Back,active,SKP Frýdek Místek,Strabag Rail Extraliga (Czech),Czech Republic,Frýdek Místek,Europe,FALSE
vladislav-korolev,Vladislav  Korolev,Belarus,Goalkeeper,active,BGUFK-SKA Minsk,Belarusian Superleague (Belarus),Belarus,Minsk,Europe,FALSE
daniil-bakun,Daniil  Bakun,Belarus,Goalkeeper,active,BGUFK-SKA Minsk,Belarusian Superleague (Belarus),Belarus,Minsk,Europe,FALSE
egor-kovalevsky,Egor Kovalevsky,Belarus,Left Wing,active,BGUFK-SKA Minsk,Belarusian Superleague (Belarus),Belarus,Minsk,Europe,FALSE
evgeny-chernyavsky,Evgeny Chernyavsky,Belarus,Right Wing,active,BGUFK-SKA Minsk,Belarusian Superleague (Belarus),Belarus,Minsk,Europe,FALSE
vladislav-geidel,Vladislav  Geidel,Belarus,Line Player,active,BGUFK-SKA Minsk,Belarusian Superleague (Belarus),Belarus,Minsk,Europe,FALSE
egor-shimanchuk,Egor  Shimanchuk,Belarus,Left Back,active,BGUFK-SKA Minsk,Belarusian Superleague (Belarus),Belarus,Minsk,Europe,FALSE
anton-titko,Anton Titko,Belarus,Right Back,active,BGUFK-SKA Minsk,Belarusian Superleague (Belarus),Belarus,Minsk,Europe,FALSE
flavien-long,Flavien Long,France,Centre Back,active,Grand Poitiers Handball 86,Nationale 1 - Group 2 (France),France,Poitiers,Europe,FALSE
domenico-ebner,Domenico  Ebner,Germany,Goalkeeper,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
tomas-mrkva,Tomas  Mrkva,Czech Republic,Goalkeeper,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
lukas-binder,Lukas  Binder,Germany,Left Wing,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
nils-greilich,Nils Greilich,Germany,Left Wing,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
tom-koschek,Tom  Koschek,Germany,Left Wing,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
lukas-krzikalla,Lukas  Krzikalla,Germany,Right Wing,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
staffan-peter,Staffan Peter,Germany,Right Wing,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
anton-voss,Anton  Voss,Germany,Right Wing,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
moritz-preuss,Moritz  Preuss,Germany,Line Player,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
luka-rogan,Luka Rogan,Serbia,Line Player,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
simon-ernst,Simon Ernst,Germany,Left Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
marko-mamic,Marko  Mamić,Croatia,Left Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
adam-lonn,Adam  Lonn,Sweden,Left Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
wiliam-bogojevic,Wiliam  Bogojevic,Sweden,Left Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
matej-klima,Matěj  Klima,Czech Republic,Left Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
ahmed-khairy,Ahmed  Khairy,Egypt,Centre Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Hors-Europe,TRUE
blaer-hinriksson,Blaer Hinriksson,Iceland,Centre Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
franz-semper,Franz  Semper,Germany,Right Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,FALSE
tomas-piroch,Tomas  Piroch,Czech Republic,Right Back,active,SC DHfK Leipzig,Liqui Moly HBL (Germany),Germany,Leipzig,Europe,TRUE
andis-silinieks,Andis Silinieks,Latvia,Goalkeeper,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
toms-markuss-volbedahts,Toms Markuss Volbedahts,Latvia,Goalkeeper,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
nauris-sprogis,Nauris Sprogis,Latvia,Goalkeeper,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
uvis-mikals,Uvis Mikals,Latvia,Goalkeeper,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
deivids-strazds,Deivids Strazds,Latvia,Left Wing,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
gatis-taujens,Gatis Taujens,Latvia,Left Wing,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
mariss-laugalis,Mariss Laugalis,Latvia,Left Wing,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
deniss-pumpurs,Deniss Pumpurs,Latvia,Right Wing,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
matiss-mickus,Matiss Mickus,Latvia,Line Player,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
karlis-tiskus,Karlis Tiskus,Latvia,Line Player,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
roverts-vitols,Roverts Vitols,Latvia,Line Player,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
roberts-butkevics,Roberts Butkevics,Latvia,Line Player,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
madars-muizarajs,Madars Muizarajs,Latvia,Left Back,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
oskars-pavils,Oskars Pavils,Latvia,Left Back,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
krists-barutis,Krists Barutis,Latvia,Left Back,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
jurgis-strelis,Jurgis Strelis,Latvia,Centre Back,active,HK Vainode,SynotTip Virsliga (Latvia),Latvia,Vainode,Europe,FALSE
vitalii-shitsko,Vitalii Shitsko,Russia,Goalkeeper,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,TRUE
teemu-tamminen,Teemu  Tamminen,Finland,Left Wing,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
joona-tamminen,Joona Tamminen,Finland,Left Wing,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
niko-hallman,Niko Hallman,Finland,Left Wing,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
roni-syrjala,Roni  Syrjälä,Finland,Right Wing,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
yury-lukyanchuk,Yury  Lukyanchuk,Belarus,Line Player,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,TRUE
santeri-vainionpaa,Santeri Vainionpaa,Finland,Line Player,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
miika-kaukoranta,Miika  Kaukoranta,Finland,Centre Back,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
roope-ahlgren,Roope Ahlgren,Finland,Centre Back,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
calle-almander,Calle  Almander,Sweden,Centre Back,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,TRUE
pavel-duda,Pavel  Duda,Belarus,Right Back,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,TRUE
urho-viita,Urho Viita,Finland,Right Back,active,Riihimäki Cocks,SM-liiga (Finland),Finland,Riihimäki,Europe,FALSE
gustav-skagerling,Gustav  Skagerling,Sweden,Goalkeeper,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
martin-borjes,Martin Borjes,Sweden,Goalkeeper,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
leo-andren,Leo Andren,Sweden,Goalkeeper,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
karl-gustav-pintsaar,Karl-Gustav Pintsaar,Sweden,Left Wing,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
linus-froberg,Linus  Froberg,Sweden,Left Wing,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
emil-soderholm,Emil  Soderholm,Sweden,Right Wing,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
ludde-nystrom,Ludde  Nystrom,Sweden,Right Wing,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
felix-morsten,Felix  Morsten,Sweden,Line Player,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
josef-granstrom,Josef  Granstrom,Sweden,Line Player,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
martin-brandt,Martin  Brandt,Sweden,Line Player,active,Tyresö Handboll,Allsvenskan (Sweden),Sweden,Tyresö,Europe,FALSE
pavel-miskevich,Pavel  Miskevich,Belarus,Goalkeeper,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,TRUE
petar-jokanovic,Petar Jokanovic,Bosnia-Herzegovina,Goalkeeper,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,TRUE
breki-thor-odinsson,Breki Thor Odinsson,Iceland,Left Wing,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
nokkvi-snaer-odinsson,Nokkvi Snaer Odinsson,Iceland,Left Wing,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
andres-marel-sigurdsson,Andres Marel Sigurdsson,Iceland,Left Wing,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
theodor-sigurbjornsson,Theodor Sigurbjornsson,Iceland,Right Wing,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
andri-snaer-andersen,Andri Snaer Andersen,Iceland,Line Player,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
kari-kristjan-kristjansson,Kari Kristjan Kristjansson,Iceland,Line Player,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
sveinn-jose-rivera,Sveinn Jose Rivera,Iceland,Line Player,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
daniel-or-ingason,Daníel  Þór Ingason,Iceland,Left Back,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
isak-rafnsson,Isak Rafnsson,Iceland,Left Back,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
ivar-bessi-vidarsson,Ivar Bessi Vidarsson,Iceland,Left Back,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
sigtryggur-dai-runarsson-50,Sigtryggur Dadi  Rúnarsson,Iceland,Centre Back,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
dagur-arnarsson,Dagur Arnarsson,Iceland,Centre Back,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
gabriel-martinez-robertsson,Gabriel Martinez Robertsson,Iceland,Right Back,active,IBV Vestmannaeyjar,Olis Deildin (Iceland),Iceland,Vestmannaeyjar,Europe,FALSE
kostadin-petrov,Kostadin  Petrov,Macedonia,Line Player,active,RK Multi Essence,no info,Macedonia,Skopje,Europe,FALSE
davids-pauls,Davids Pauls,Latvia,Goalkeeper,active,MSĢ/LAT 2000,SynotTip Virsliga (Latvia),Latvia,,Europe,FALSE
kristofers-jonass,Kristofers Jonass,Latvia,Left Wing,active,MSĢ/LAT 2000,SynotTip Virsliga (Latvia),Latvia,,Europe,FALSE
raiens-snepsts,Raiens Snepsts,Latvia,Left Back,active,MSĢ/LAT 2000,SynotTip Virsliga (Latvia),Latvia,,Europe,FALSE
elgars-kusners,Elgars Kusners,Latvia,Centre Back,active,MSĢ/LAT 2000,SynotTip Virsliga (Latvia),Latvia,,Europe,FALSE
reinis-burjans,Reinis Burjans,Latvia,Centre Back,active,MSĢ/LAT 2000,SynotTip Virsliga (Latvia),Latvia,,Europe,FALSE
edvards-toks,Edvards Toks,Latvia,Right Back,active,MSĢ/LAT 2000,SynotTip Virsliga (Latvia),Latvia,,Europe,FALSE
corentin-boe,Corentin Boé,France,Centre Back,active,AS St Brice Courcelles Handball,Nationale 2 - Group 3 (France),France,St Brice Courcelles,Europe,FALSE
ziv-kadan,Ziv  Kadan,Israel,Goalkeeper,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
shon-morohov,Shon Morohov,Israel,Goalkeeper,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
chen-libgot,Chen  Libgot,Israel,Left Wing,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
avraham-aviran-yosef,Avraham Aviran  Yosef,Israel,Left Wing,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
rif-cohen,Rif Cohen,Israel,Right Wing,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
aharon-levi,Aharon Levi,Israel,Right Wing,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
dor-moshe,Dor Moshe,Israel,Right Wing,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
amit-reinsberg,Amit Reinsberg,Israel,Right Wing,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
or-refael-maman,Or Refael  Maman,Israel,Line Player,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
philip-igwe-kalu,Philip Igwe  Kalu,Nigeria,Left Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,TRUE
loic-bakasu-bibange,Loic Bakasu Bibange,Israel,Left Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
or-refael-levi,Or Refael  Levi,Israel,Centre Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
aviad-ben-ziman,Aviad Ben  Ziman,Israel,Centre Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
nadav-malachi,Nadav Malachi,Israel,Centre Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
patrick-obinna-nwaiwu,Patrick Obinna  Nwaiwu,Nigeria,Right Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,TRUE
itay-ben-yaakov,Itay Ben Yaakov,Israel,Right Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
naor-cohen,Naor Cohen,Israel,Right Back,active,Holon HC,Ligat Winner (Israel),Israel,Holon,Hors-Europe,FALSE
mihailo-jovanovic,Mihailo  Jovanović,Serbia,Centre Back,active,RK Novi Beograd,no info,Serbia,Belgrade,Europe,FALSE
arne-fuchs,Arne  Fuchs,Germany,Goalkeeper,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,TRUE
tim-muller,Tim Muller,Switzerland,Goalkeeper,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
noah-grau,Noah Grau,Switzerland,Left Wing,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
nico-petrig,Nico Petrig,Switzerland,Left Wing,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
david-poloz,David  Poloz,Czech Republic,Right Wing,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,TRUE
kenneth-bindt,Kenneth Bindt,Switzerland,Right Wing,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
igor-cagalj,Igor Čagalj,Serbia,Line Player,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,TRUE
michael-oehler,Michael  Oehler,Germany,Left Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,TRUE
yann-thumena,Yann  Thumena,Switzerland,Left Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
finley-rottges,Finley Rottges,Switzerland,Left Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
milo-ruegg,Milo Ruegg,Switzerland,Left Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
flurin-platz,Flurin  Platz,Switzerland,Centre Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
jann-bamert,Jann Bamert,Switzerland,Centre Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
gilles-besek,Gilles Besek,Switzerland,Centre Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
david-flajsar,David Flajsar,Czech Republic,Centre Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,TRUE
alex-besek,Alex Besek,Switzerland,Centre Back,active,GC Amicitia Zürich,Swiss Handball  (Switzerland),Switzerland,Zürich,Europe,FALSE
golub-doknic,Golub  Doknić,Montenegro,Goalkeeper,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,TRUE
lukas-gurskis,Lukas  Gurskis,Lithuania,Goalkeeper,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,TRUE
leandro-krocar,Leandro Krocar,Austria,Goalkeeper,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
leandro-kocar,Leandro  Kocar,Austria,Goalkeeper,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
nico-sager,Nico  Sager,Austria,Left Wing,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
robin-lurzer,Robin Lurzer,Austria,Left Wing,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
jannik-piringer,Jannik  Piringer,Austria,Left Wing,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
ante-tokic,Ante  Tokić,Croatia,Right Wing,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,TRUE
lennio-sgonc,Lennio Sgonc,Austria,Right Wing,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
timon-lurzer,Timon Lurzer,Austria,Right Wing,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
dejan-babic,Dejan Babić,Serbia,Line Player,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,TRUE
jakob-achilles,Jakob Achilles,Austria,Line Player,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
caspar-mosblech,Caspar  Mosblech,Austria,Line Player,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
tryggvi-gardar-jonsson,Tryggvi  Gardar Jonsson,Iceland,Left Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,TRUE
marc-andre-haunold,Marc-Andre Haunold,Austria,Left Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
lukas-fritsch,Lukas  Fritsch,Austria,Left Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
berkant-cirit,Berkant  Cirit,Austria,Left Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
janberk-cirit,Janberk Cirit,Austria,Centre Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
tumi-steinn-runarsson,Tumi Steinn Runarsson,Iceland,Centre Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,TRUE
matthias-hammerle,Matthias Hammerle,Austria,Centre Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,FALSE
matthias-hild,Matthias Hild,Germany,Right Back,active,Alpla HC Hard,SPUSU Liga (Austria),Austria,Hard,Europe,TRUE
mihailo-radovanovic,Mihailo  Radovanović,Serbia,Goalkeeper,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,TRUE
marcel-jastrzebski,Marcel  Jastrzebski,Poland,Goalkeeper,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,TRUE
predrag-serdar,Predrag Serdar,Croatia,Goalkeeper,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
manuel-strlek,Manuel  Štrlek,Croatia,Left Wing,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
aleksandar-bakic,Aleksandar  Bakić,Montenegro,Left Wing,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,TRUE
ivan-barbic,Ivan Barbic,Croatia,Left Wing,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
ibrahim-haseljic,Ibrahim  Haseljić,Bosnia-Herzegovina,Right Wing,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,TRUE
loris-hromin,Loris Hromin,Croatia,Right Wing,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
petar-barisic,Petar Barisic,Croatia,Right Wing,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
kresimir-kozina,Krešimir  Kozina,Croatia,Line Player,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
leon-vucko,Leon  Vučko,Croatia,Line Player,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
karlo-peric,Karlo Peric,Bosnia-Herzegovina,Line Player,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,TRUE
luka-moslavac,Luka  Moslavac,Croatia,Left Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
lucian-krajcar,Lucian  Krajcar,Croatia,Left Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
matko-moslavac,Matko Moslavac,Croatia,Left Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
tin-lucin,Tin  Lučin,Croatia,Centre Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
mislav-grgic,Mislav Grgic,Croatia,Centre Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
ognjen-cenic,Ognjen Cenić,Serbia,Centre Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,TRUE
tin-kuze,Tin Kuze,Croatia,Centre Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
borna-manci-micevic,Borna Manci  Mičević,Croatia,Right Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
aleksandar-cenic,Aleksandar  Cenić,Serbia,Right Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,TRUE
petar-krupic,Petar Krupic,Croatia,Right Back,active,RK Nexe Našice,Premijer Liga (Croatia),Croatia,Našice,Europe,FALSE
facundo-jesus-garcia-giugno,Facundo Jesus  Garcia Giugno,Italy,Goalkeeper,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
pierpaolo-antogiovanni,Pierpaolo Antogiovanni,Italy,Goalkeeper,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
luciano-zizzo,Luciano Zizzo,Italy,Left Wing,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
alessio-miceli,Alessio Miceli,Italy,Left Wing,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
leonardo-dante-di-fazio,Leonardo Dante Di Fazio,Italy,Right Wing,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
vicenzo-luca-rotunno,Vicenzo Luca  Rotunno,Italy,Right Wing,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
adel-el-sabbagh,Adel El Sabbagh,Italy,Line Player,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
giovanni-di-biasio,Giovanni Di Biasio,Italy,Line Player,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
aaron-durnwalder,Aaron Durnwalder,Italy,Centre Back,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
stefano-d-039-ettorre,Stefano D'Ettorre,Italy,Centre Back,active,Banca popolare di Fondi,no info,Italy,Fondi,Europe,FALSE
nicolas-gauthier,Nicolas Gauthier,France,Goalkeeper,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,FALSE
ivan-vekic,Ivan Vekic,Croatia,Goalkeeper,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,TRUE
marin-langlais,Marin Langlais,France,Left Wing,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,FALSE
leo-weber,Leo  Weber,France,Left Wing,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,FALSE
nuno-reis,Nuno  Reis,Portugal,Right Wing,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,TRUE
dino-jambres,Dino  Jambres,France,Right Wing,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,FALSE
axel-oppedisano,Axel  Oppedisano,France,Line Player,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,FALSE
thomas-loppy,Thomas  Loppy,France,Line Player,active,JS Cherbourg Manche Handball,Proligue (France),France,Cherbourg-en-Cotentin,Europe,FALSE
